local.time,Rain_mm_Tot,SlrmJ_Tot,AirTC_Avg,RH_percent,SOLARRAD_(WATTS/M2),PAR_Den,PAR_Tot,,
2015-01-01 00:00:00,0,0,22.45,81.3,0,0.7336943,2.641278,,
2015-01-01 01:00:00,0,0,22.43,82.9,0,0.733686,2.641295,,
2015-01-01 02:00:00,0,0,22.3,79.93,0,0.7336919,3.440977,,
2015-01-01 03:00:00,0,0,22.34,81,0,0.7337001,2.641266,,
2015-01-01 04:00:00,0,0,22.24,80.8,0,0.7336824,2.641279,,
2015-01-01 05:00:00,0,0,22.32,80.9,0,0.7336879,3.584051,,
2015-01-01 06:00:00,0,0,22.37,78.81,0,0.7336818,2.641286,,
2015-01-01 07:00:00,0,0.001149209,21.97,79.63,2.188963,8.070493,5.884146,,
2015-01-01 08:00:00,0,0.03153954,22.15,79.22,12.76884,48.42254,116.8065,,
2015-01-01 09:00:00,0,0.09059986,22.46,81.8,43.77983,114.4557,278.0611,,
2015-01-01 10:00:00,0,0.2141584,22.92,75.48,47.42856,129.1307,568.4218,,
2015-01-01 11:00:00,0,0.4831932,23.64,71.62,166.6934,836.2327,1184.649,,
2015-01-01 12:00:00,0,0.9102664,24.57,66.9,408.4404,948.9977,2190.297,,
2015-01-01 13:00:00,0,0.7366382,24.65,71.77,69.28072,186.257,1781.498,,
2015-01-01 14:00:00,0,0.351234,24.82,66.16,49.59441,141.5374,830.0483,,
2015-01-01 15:00:00,0,0.3477202,24.98,66.51,67.10261,186.284,1354.627,,
2015-01-01 16:00:00,0,0.7609555,24.46,70.4,99.19298,137.8764,1812.832,,
2015-01-01 17:00:00,0,0.1095909,23.95,74.77,32.8276,88.02339,336.5041,,
2015-01-01 18:00:00,0,0.07781541,23.42,81.9,2.918727,6.603378,177.1064,,
2015-01-01 19:00:00,0,0.000428687,22.74,83.8,0,0.7337095,4.526981,,
2015-01-01 20:00:00,0,0,22.83,79.91,0,0.7337145,2.641335,,
2015-01-01 21:00:00,0,0,22.92,80.6,0,0.733712,2.645002,,
2015-01-01 22:00:00,0,0,22.85,80.1,0,0.7337121,2.6413,,
2015-01-01 23:00:00,0,0,22.75,77.78,0,0.7337019,2.641316,,
2015-01-02 00:00:00,0,0,22.56,78.73,0,0.733702,2.641311,,
2015-01-02 01:00:00,0,0,22.4,79.92,0,0.7337011,2.641296,,
2015-01-02 02:00:00,0,0,22.27,79.86,0,0.7337043,2.641291,,
2015-01-02 03:00:00,0,0,22.26,80.5,0,0.7337106,2.641335,,
2015-01-02 04:00:00,0,0,22.26,77.36,0,0.733681,2.641296,,
2015-01-02 05:00:00,0,0,22.4,80.2,0,0.7336899,2.641251,,
2015-01-02 06:00:00,0,0,22.34,77.02,0,0.7336752,2.64129,,
2015-01-02 07:00:00,0,0.001099964,22.43,78.85,2.188931,8.070376,5.887853,,
